"New_Client_Id_Client";"sending_date_group";"is_opened_retreated";"is_clicked";"mailing_id";"email_id";"min_sending_date";"email_count"
294574;2021-04-23;FALSE;FALSE;"2173";"154466";2021-04-23;1
294574;2022-04-10;FALSE;FALSE;"2812";"154466";2022-04-10;1
294574;2023-07-23;FALSE;FALSE;"3980";"154466";2023-07-23;1
294576;2020-10-27;FALSE;FALSE;"12;13";"1775776";2020-10-27;2
294579;2020-12-11;TRUE;FALSE;"37;38";"65823";2020-12-11;2
294582;2020-02-06;TRUE;TRUE;"12";"1491450";2020-02-06;1
294582;2022-09-10;TRUE;FALSE;"3328";"1491450";2022-09-10;1
294583;2020-06-17;TRUE;TRUE;"12;13";"1526351";2020-06-17;2
294583;2020-07-23;TRUE;TRUE;"37";"1526351";2020-07-23;1
294584;2019-12-22;FALSE;FALSE;"12;13";"1464719";2019-12-22;2
294587;2023-03-17;FALSE;FALSE;"3389";"850383";2023-03-17;1
294587;2023-04-28;FALSE;FALSE;"3389";"850383";2023-04-28;1
294588;2022-11-15;FALSE;FALSE;"3389";"112235";2022-11-15;1
294588;2023-05-28;FALSE;FALSE;"3389";"112235";2023-05-28;1
294589;2020-10-10;FALSE;FALSE;"12;13";"1768021";2020-10-10;2
294590;2019-02-10;FALSE;FALSE;"37;38";"472416";2019-02-10;2
294590;2019-07-16;FALSE;FALSE;"37;38";"472416";2019-07-16;2
294590;2020-02-15;FALSE;FALSE;"37;38";"472416";2020-02-15;2
294590;2020-06-21;TRUE;FALSE;"37;38";"472416";2020-06-21;2
294590;2020-08-30;FALSE;FALSE;"37;38";"472416";2020-08-30;2
294590;2021-02-20;TRUE;FALSE;"37;38";"472416";2021-02-20;2
294590;2021-03-24;TRUE;FALSE;"37;38";"472416";2021-03-24;2
294590;2022-03-01;TRUE;FALSE;"2812";"472416";2022-03-01;1
294590;2022-05-04;TRUE;FALSE;"2812";"472416";2022-05-04;1
294590;2022-09-26;TRUE;FALSE;"3389";"472416";2022-09-26;1
294590;2022-12-09;TRUE;FALSE;"3389";"472416";2022-12-09;1
294590;2023-03-17;TRUE;FALSE;"3389";"472416";2023-03-17;1
294592;2022-03-22;TRUE;TRUE;"2943";"2113653";2022-03-22;1
294592;2022-05-23;TRUE;FALSE;"2812";"2113653";2022-05-23;1
294594;2019-09-18;TRUE;FALSE;"39";"930449";2019-09-18;1
294594;2019-09-23;TRUE;FALSE;"40";"930449";2019-09-23;1
294594;2019-10-14;TRUE;FALSE;"39";"930449";2019-10-14;1
294594;2019-10-19;FALSE;FALSE;"40";"930449";2019-10-19;1
294594;2021-04-24;TRUE;FALSE;"39";"930449";2021-04-24;1
294594;2021-05-05;TRUE;FALSE;"40";"930449";2021-05-05;1
294598;2020-08-09;TRUE;TRUE;"37;38";"257753";2020-08-09;2
294598;2021-08-12;TRUE;FALSE;"37";"257753";2021-08-12;1
294598;2021-08-16;TRUE;FALSE;"38";"257753";2021-08-16;1
294599;2019-08-21;TRUE;TRUE;"12";"925434";2019-08-21;1
294599;2019-10-05;FALSE;FALSE;"37;38";"925434";2019-10-05;2
294599;2020-02-13;TRUE;FALSE;"37;38";"925434";2020-02-13;2
294599;2023-05-24;TRUE;TRUE;"3389";"925434";2023-05-24;1
294601;2019-12-24;TRUE;TRUE;"39;40";"772213";2019-12-24;2
294601;2020-01-25;FALSE;FALSE;"39";"772213";2020-01-25;1
294601;2020-01-29;TRUE;TRUE;"40";"772213";2020-01-29;1
294601;2020-02-06;TRUE;TRUE;"37;38";"772213";2020-02-06;2
294601;2020-04-13;TRUE;FALSE;"39;40";"772213";2020-04-13;2
294601;2021-10-09;TRUE;TRUE;"37";"772213";2021-10-09;1
294601;2021-10-24;TRUE;TRUE;"39;40";"772213";2021-10-24;2
294601;2022-05-17;TRUE;TRUE;"2812";"772213";2022-05-17;1
294601;2022-08-25;TRUE;TRUE;"3328";"772213";2022-08-25;1
294601;2022-09-26;TRUE;FALSE;"3389";"772213";2022-09-26;1
294608;2019-07-03;FALSE;FALSE;"37;38";"304866";2019-07-03;2
294614;2021-02-18;FALSE;FALSE;"2105";"1911118";2021-02-18;1
294617;2019-10-18;TRUE;FALSE;"37;38";"670328";2019-10-18;2
294617;2022-10-04;FALSE;FALSE;"3389";"670328";2022-10-04;1
294619;2019-09-18;FALSE;FALSE;"37";"121839";2019-09-18;1
294619;2019-09-23;FALSE;FALSE;"38";"121839";2019-09-23;1
294622;2022-02-18;FALSE;FALSE;"2812";"2044116";2022-02-18;1
294624;2020-05-11;FALSE;FALSE;"14;15";"1339224";2020-05-11;2
294624;2021-12-12;TRUE;FALSE;"37;38";"1339224";2021-12-12;2
